Day,Time,Group,Exercise,Minutes,Calories Burned
2026-03-01,,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-743.67
2026-03-05,,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-275.51
2026-03-06,,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-216.13
2026-03-04,,Uncategorized,"Active Energy Balance (Apple Health)",1.0,-133.49
2026-03-03,,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-144.06
2026-03-02,,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-157.64
